viral_acc	virus_name	report_host	gcfs	host_name	assembly_level
NC_022976	Mycobacterium phage Nala	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023725	Mycobacterium phage Nappy	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028785	Mycobacterium phage NelitzaMV	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028928	Mycobacterium phage Nerujay	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_021310	Mycobacterium phage Newman	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028815	Mycobacterium phage Nhonho	Mycobacterium smegmatis mc2155	['GCF_022370415.1', 'GCF_022370395.1', 'GCF_022370375.1', 'GCF_021183665.1', 'GCF_019930745.1', 'GCF_000331165.2', 'GCF_001457595.1', 'GCF_000767705.1', 'GCF_000767665.1', 'GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2155	complete
NC_023565	Mycobacterium phage Nyxis	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023578	Mycobacterium phage Oaker	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023577	Mycobacterium phage Obama12	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_024366	Mycobacterium phage OkiRoe	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023711	Mycobacterium phage Oline	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028832	Mycobacterium phage Omnicron	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028803	Mycobacterium phage OSmaximus	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028937	Mycobacterium phage Ovechkin	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_031281	Mycobacterium phage Panchino	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_031041	Mycobacterium phage Papez	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_022053	Mycobacterium phage Papyrus	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028874	Mycobacterium phage Pari	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023691	Mycobacterium phage Patience	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_021297	Mycobacterium phage PattyP	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_021299	Mycobacterium phage PegLeg	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028680	Mycobacterium phage Pepe	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_024148	Mycobacterium phage Phantastic	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_022969	Mycobacterium phage PhatBacter	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028844	Mycobacterium phage Phatniss	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_021311	Mycobacterium phage Phaux	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028796	Mycobacterium phage Phayonce	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_022063	Mycobacterium phage Phelemich	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028942	Mycobacterium phage Phipps	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_012027	Mycobacterium phage Phlyer	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_031266	Mycobacterium phage Phrann	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_022329	Mycobacterium phage PhrostyMug	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_021309	Mycobacterium phage Phrux	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_024368	Mycobacterium phage Pinto	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028965	Mycobacterium phage Pioneer	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_042055	Mycobacterium phage Pipsqueaks	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028794	Mycobacterium phage Piro94	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023737	Mycobacterium phage Pleione	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028681	Mycobacterium phage Pops	Mycobacterium smegmatis mc2155	['GCF_022370415.1', 'GCF_022370395.1', 'GCF_022370375.1', 'GCF_021183665.1', 'GCF_019930745.1', 'GCF_000331165.2', 'GCF_001457595.1', 'GCF_000767705.1', 'GCF_000767665.1', 'GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2155	complete
NC_028961	Mycobacterium phage PopTart	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028751	Mycobacterium phage Quico	Mycobacterium smegmatis mc2155	['GCF_022370415.1', 'GCF_022370395.1', 'GCF_022370375.1', 'GCF_021183665.1', 'GCF_019930745.1', 'GCF_000331165.2', 'GCF_001457595.1', 'GCF_000767705.1', 'GCF_000767665.1', 'GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2155	complete
NC_022330	Mycobacterium phage Quink	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023730	Mycobacterium phage Redi	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_022066	Mycobacterium phage Redno2	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_025444	Mycobacterium phage RedRock	Mycobacterium smegamatis mc2 155	['GCF_004345205.2', 'GCF_004345205.1']	Mycobacterium smegamatis mc2	complete
NC_022064	Mycobacterium phage Reprobate	Mycobacterium smegamtis mc2 155	['GCF_004345205.2', 'GCF_004345205.1']	Mycobacterium smegamtis mc2	complete
NC_041971	Mycobacterium phage Rey	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023609	Mycobacterium phage RhynO	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023710	Mycobacterium phage RidgeCB	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_042036	Mycobacterium phage Rockstar	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028810	Mycobacterium phage Rufus	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023580	Mycobacterium phage Saal	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_022324	Mycobacterium phage SarFire	Mycobacterium smegamtis mc2 155	['GCF_004345205.2', 'GCF_004345205.1']	Mycobacterium smegamtis mc2	complete
NC_026589	Mycobacterium phage Sbash	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_024136	Mycobacterium phage Seabiscuit	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028813	Mycobacterium phage Seagreen	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_041993	Mycobacterium phage Sebata	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_042033	Mycobacterium phage Send513	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028932	Mycobacterium phage Serenity	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_021307	Mycobacterium phage Severus	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_041989	Mycobacterium phage Shauna1	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028846	Mycobacterium phage ShedlockHolmes	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028914	Mycobacterium phage Sheen	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_041988	Mycobacterium phage ShiLan	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_031261	Mycobacterium phage Shipwreck	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028674	Mycobacterium phage ShiVal	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_041987	Mycobacterium phage SirDuracell	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_021301	Mycobacterium phage SiSi	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_041882	Mycobacterium phage SkinnyPete	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023748	Mycobacterium phage SkiPole	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028860	Mycobacterium phage Smeadley	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_031102	Mycobacterium phage Sneeze	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028778	Mycobacterium phage Snenia	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_011267	Mycobacterium phage Solon	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_025438	Mycobacterium phage Soto	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028654	Mycobacterium phage Sparkdehlily	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_026597	Mycobacterium phage Sparky	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_041986	Mycobacterium phage Spartacus	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_026588	Mycobacterium phage Squirty	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023741	Mycobacterium phage Stinger	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023563	Mycobacterium phage Suffolk	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_029043	Mycobacterium phage SweetiePie	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028912	Mycobacterium phage Swirley	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028658	Mycobacterium phage Swish	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_041985	Mycobacterium phage Switzer	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_017973	Mycobacterium phage SWU1	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_025433	Mycobacterium phage Taj	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028784	Mycobacterium phage Tasp14	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028960	Mycobacterium phage Theia	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028828	Mycobacterium phage TheloniousMonk	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023738	Mycobacterium phage Thibault	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028757	Mycobacterium phage Tiffany	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_041984	Mycobacterium phage Tiger	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_041983	Mycobacterium phage Timshel	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_031080	Mycobacterium phage Tonenili	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_041888	Mycobacterium phage Tortellini	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028906	Mycobacterium phage Toto	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_026591	Mycobacterium phage Trike	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023731	Mycobacterium phage Trixie	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_011285	Mycobacterium phage Troll4	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_022062	Mycobacterium phage Trouble	Mycobacterium smegamtis mc2 155	['GCF_004345205.2', 'GCF_004345205.1']	Mycobacterium smegamtis mc2	complete
NC_023707	Mycobacterium phage Turbido	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028941	Mycobacterium phage Turj99	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_041982	Mycobacterium phage Twister	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_027985	Mycobacterium phage UncleHowie	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028802	Mycobacterium phage UnionJack	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023498	Mycobacterium phage Validus	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_022060	Mycobacterium phage Velveteen	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028934	Mycobacterium phage Vincenzo	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023695	Mycobacterium phage Violet	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023727	Mycobacterium phage Vista	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_029077	Mycobacterium phage VohminGhazi	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028801	Mycobacterium phage Vortex	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_022067	Mycobacterium phage Wanda	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_014901	Mycobacterium phage Wee	Mycobacterium smegmatis mc2155	['GCF_022370415.1', 'GCF_022370395.1', 'GCF_022370375.1', 'GCF_021183665.1', 'GCF_019930745.1', 'GCF_000331165.2', 'GCF_001457595.1', 'GCF_000767705.1', 'GCF_000767665.1', 'GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2155	complete
NC_022070	Mycobacterium phage Wheeler	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_022052	Mycobacterium phage Whirlwind	Mycobacterium smegamtis mc2 155	['GCF_004345205.2', 'GCF_004345205.1']	Mycobacterium smegamtis mc2	complete
NC_023709	Mycobacterium phage Wile	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_021334	Mycobacterium phage WIVsmall	mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	mycobacterium smegmatis mc2 155	complete
NC_031243	Mycobacterium phage Xeno	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_028910	Mycobacterium phage XFactor	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_022985	Mycobacterium phage Zaka	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_042035	Mycobacterium phage Zemanar	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_024147	Mycobacterium phage ZoeJ	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023701	Mycobacterium virus Acadian	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023716	Mycobacterium virus Alma	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_042031	Mycobacterium virus Anaya	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_014458	Mycobacterium virus Angelica	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_042339	Mycobacterium virus Arturo	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_042337	Mycobacterium virus Astro	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023698	Mycobacterium virus Avani	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023697	Mycobacterium virus Babsiella	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_042308	Mycobacterium virus Backyardigan	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_042316	Mycobacterium virus Baka	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_041846	Mycobacterium virus Bask21	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_042327	Mycobacterium virus BBPiebs31	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_042331	Mycobacterium virus Benedict	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023739	Mycobacterium virus Billknuckles	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_014461	Mycobacterium virus Bron	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_011291	Mycobacterium virus Brujita	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023687	Mycobacterium virus Bruns	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
NC_023690	Mycobacterium virus Courthouse	Mycobacterium smegmatis mc2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	Mycobacterium smegmatis mc2 155	complete
