find_name	new_gcf	assembly_category	assembly_level	find_taxid	find_taxrank	find_lineage
Rhodococcus erythropolis	GCF_000696675.2	Represent	Complete Genome	1833	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;s__Rhodococcus erythropolis;t__
Rhodococcus globerulus	GCF_019334125.1	Represent	Complete Genome	33008	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;s__Rhodococcus globerulus;t__
Nocardia brasiliensis	GCF_002209125.2	Represent	Complete Genome	37326	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Nocardiaceae;g__Nocardia;s__Nocardia brasiliensis;t__
Nocardia asteroides	GCF_900637185.1	Represent	Complete Genome	1824	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Nocardiaceae;g__Nocardia;s__Nocardia asteroides;t__
Nocardia nova	GCF_000523235.1	Unreference	Complete Genome	37330	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Nocardiaceae;g__Nocardia;s__Nocardia nova;t__
Gordonia amicalis	GCF_022059885.1	Unreference	Complete Genome	89053	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Gordoniaceae;g__Gordonia;s__Gordonia amicalis;t__
Aggregatibacter actinomycetemcomitans	GCF_020809485.1	Unreference	Complete Genome	714	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter;s__Aggregatibacter actinomycetemcomitans;t__
Glaesserella parasuis	GCF_017352235.1	Represent	Complete Genome	738	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Glaesserella;s__Glaesserella parasuis;t__
Haemophilus influenzae	GCF_919946725.1	Unreference	Complete Genome	727	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus influenzae;t__
Haloarcula hispanica	GCF_000504565.1	Unreference	Complete Genome	51589	species	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula hispanica;t__
Haloarcula hispanica ATCC 33960	GCF_000223905.1	Unreference	Complete Genome	634497	strain	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula hispanica;t__Haloarcula hispanica ATCC 33960
Halobacterium salinarum	GCF_004799605.1	Represent	Complete Genome	2242	species	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__Halobacterium salinarum;t__
Halobacterium salinarum R1	GCF_000069025.1	Unreference	Complete Genome	478009	strain	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__Halobacterium salinarum;t__Halobacterium salinarum R1
Halorubrum sp. PV6	GCF_003990725.2	Unreference	Complete Genome	634157	species	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;s__Halorubrum sp. PV6;t__
Haloarcula sinaiiensis	GCF_018200015.1	Represent	Complete Genome	35742	species	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__Haloarcula;s__Haloarcula sinaiiensis;t__
Halorubrum sodomense	GCF_018228765.1	Unreference	Complete Genome	35743	species	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Halorubraceae;g__Halorubrum;s__Halorubrum sodomense;t__
Helicobacter pylori	GCF_017821535.1	Represent	Complete Genome	210	species	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori;t__
Helicobacter pylori F32	GCF_000270045.1	Unreference	Complete Genome	102608	strain	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori;t__Helicobacter pylori F32
Helicobacter pylori 35A	GCF_000178935.2	Unreference	Complete Genome	585535	strain	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori;t__Helicobacter pylori 35A
Helicobacter pylori F16	GCF_000270005.1	Unreference	Complete Genome	866344	strain	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori;t__Helicobacter pylori F16
Helicobacter pylori F30	GCF_000270025.1	Unreference	Complete Genome	866345	strain	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori;t__Helicobacter pylori F30
Helicobacter pylori F57	GCF_000270065.1	Unreference	Complete Genome	866346	strain	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori;t__Helicobacter pylori F57
Klebsiella pneumoniae	GCF_000240185.1	Reference	Complete Genome	573	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__
Klebsiella pneumoniae subsp. ozaenae	GCF_002853115.2	Unreference	Complete Genome	574	subspecies	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__Klebsiella pneumoniae subsp. ozaenae
Klebsiella pneumoniae subsp. pneumoniae	GCF_000240185.1	Reference	Complete Genome	72407	subspecies	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__Klebsiella pneumoniae subsp. pneumoniae
Klebsiella oxytoca	GCF_003812925.1	Represent	Complete Genome	571	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella oxytoca;t__
Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	GCF_000009885.1	Unreference	Complete Genome	484021	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044
Klebsiella pneumoniae subsp. pneumoniae KPNIH1	GCF_000281535.2	Unreference	Complete Genome	1087440	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__Klebsiella pneumoniae subsp. pneumoniae KPNIH1
Klebsiella pneumoniae KCTC 2242	GCF_000220485.1	Unreference	Complete Genome	1049565	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae;t__Klebsiella pneumoniae KCTC 2242
Levilactobacillus brevis	GCF_001676805.1	Represent	Complete Genome	1580	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Levilactobacillus;s__Levilactobacillus brevis;t__
Lacticaseibacillus casei	GCF_000829055.1	Represent	Complete Genome	1582	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus casei;t__
Lactiplantibacillus plantarum	GCF_003269405.1	Represent	Complete Genome	1590	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum;t__
Lacticaseibacillus rhamnosus	GCF_006151905.1	Represent	Complete Genome	47715	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus rhamnosus;t__
Lactobacillus delbrueckii subsp. bulgaricus	GCF_011044195.1	Unreference	Complete Genome	1585	subspecies	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus delbrueckii;t__Lactobacillus delbrueckii subsp. bulgaricus
Lacticaseibacillus paracasei	GCF_000019245.4	Represent	Complete Genome	1597	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus paracasei;t__
Lactobacillus delbrueckii subsp. lactis	GCF_021091115.1	Unreference	Complete Genome	29397	subspecies	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus delbrueckii;t__Lactobacillus delbrueckii subsp. lactis
Lactobacillus gasseri	GCF_000439915.2	Unreference	Complete Genome	1596	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri;t__
Levilactobacillus brevis ATCC 367	GCF_000014465.1	Unreference	Complete Genome	387344	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Levilactobacillus;s__Levilactobacillus brevis;t__Levilactobacillus brevis ATCC 367
Lactobacillus delbrueckii	GCF_001888925.1	Represent	Complete Genome	1584	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus delbrueckii;t__
Limosilactobacillus fermentum	GCF_019890875.1	Unreference	Complete Genome	1613	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus fermentum;t__
Lactiplantibacillus pentosus	GCF_003641185.1	Represent	Complete Genome	1589	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus pentosus;t__
Lactobacillus jensenii	GCF_009730255.1	Unreference	Complete Genome	109790	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii;t__
Lactobacillus helveticus	GCF_019443925.1	Unreference	Complete Genome	1587	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus helveticus;t__
Lactobacillus johnsonii	GCF_014841035.1	Represent	Complete Genome	33959	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus johnsonii;t__
Lactococcus lactis	GCF_020463755.1	Represent	Complete Genome	1358	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis;t__
Lactococcus lactis subsp. lactis bv. diacetylactis	GCF_017869415.1	Unreference	Complete Genome	44688	no rank	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis;t__Lactococcus lactis subsp. lactis
Lactococcus cremoris	GCF_000468955.1	Represent	Complete Genome	1359	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus cremoris;t__
Lactococcus lactis subsp. lactis	GCF_022494905.1	Unreference	Complete Genome	1360	subspecies	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis;t__Lactococcus lactis subsp. lactis
Lactococcus lactis subsp. lactis Il1403	GCF_000006865.1	Unreference	Complete Genome	272623	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis;t__Lactococcus lactis subsp. lactis Il1403
Lactococcus garvieae	GCF_016026695.1	Represent	Complete Genome	1363	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus garvieae;t__
Lactococcus garvieae Lg2	GCF_000269945.1	Unreference	Complete Genome	420890	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus garvieae;t__Lactococcus garvieae Lg2
Lactococcus cremoris subsp. cremoris	GCF_000468955.1	Represent	Complete Genome	2816960	subspecies	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus cremoris;t__Lactococcus cremoris subsp. cremoris
Lactococcus lactis subsp. cremoris MG1363	GCF_000009425.1	Unreference	Complete Genome	416870	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus cremoris;t__Lactococcus lactis subsp. cremoris MG1363
Leclercia adecarboxylata	GCF_001518835.1	Represent	Complete Genome	83655	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Leclercia;s__Leclercia adecarboxylata;t__
Leptospira biflexa	GCF_000017685.1	Represent	Complete Genome	172	species	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira biflexa;t__
Leuconostoc mesenteroides	GCF_009913915.1	Represent	Complete Genome	1245	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides;t__
Oenococcus oeni	GCF_002966535.1	Represent	Complete Genome	1247	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Oenococcus;s__Oenococcus oeni;t__
Leuconostoc pseudomesenteroides	GCF_016127255.1	Represent	Complete Genome	33968	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides;t__
Leuconostoc mesenteroides subsp. dextranicum	GCF_001047695.1	Unreference	Complete Genome	33966	subspecies	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides;t__Leuconostoc mesenteroides subsp. dextranicum
Leuconostoc mesenteroides subsp. mesenteroides	GCF_009676745.1	Unreference	Complete Genome	33967	subspecies	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides;t__Leuconostoc mesenteroides subsp. mesenteroides
Candidatus Liberibacter asiaticus str. psy62	GCF_000023765.2	Unreference	Complete Genome	537021	strain	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Liberibacter;s__Candidatus Liberibacter asiaticus;t__Candidatus Liberibacter asiaticus str. psy62
Candidatus Liberibacter asiaticus	GCF_002216815.1	Represent	Complete Genome	34021	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Liberibacter;s__Candidatus Liberibacter asiaticus;t__
Listeria monocytogenes	GCF_000196035.1	Reference	Complete Genome	1639	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes;t__
Listeria monocytogenes EGD-e	GCF_000196035.1	Reference	Complete Genome	169963	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes;t__Listeria monocytogenes EGD-e
Listeria monocytogenes WSLC1042	GCF_000568935.1	Unreference	Complete Genome	1457188	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes;t__Listeria monocytogenes WSLC1042
Listeria monocytogenes FSL J1-208	GCF_014843315.1	Unreference	Complete Genome	393119	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes;t__Listeria monocytogenes FSL J1-208
Listeria monocytogenes serotype 4b str. F2365	GCF_000008285.1	Unreference	Complete Genome	265669	strain	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes;t__Listeria monocytogenes serotype 4b str. F2365
Mannheimia haemolytica	GCF_002285575.1	Represent	Complete Genome	75985	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Mannheimia;s__Mannheimia haemolytica;t__
Marinomonas mediterranea	GCF_000192865.1	Represent	Complete Genome	119864	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Marinomonas;s__Marinomonas mediterranea;t__
Mesorhizobium loti	GCF_014189435.1(suppressed)	Unreference	Complete Genome	381	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__Mesorhizobium loti;t__
Methanothermobacter thermautotrophicus	GCF_000008645.1	Represent	Complete Genome	145262	species	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter thermautotrophicus;t__
Microbacterium foliorum	GCF_003367705.1	Represent	Complete Genome	104336	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium foliorum;t__
Microbacterium paraoxydans	GCF_900105335.1	Represent	Chromosome	199592	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium paraoxydans;t__
Microbacterium oxydans	GCF_004000565.1	Unreference	Complete Genome	82380	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium oxydans;t__
Microcystis aeruginosa	GCF_021172085.1	Unreference	Complete Genome	1126	species	k__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Microcystaceae;g__Microcystis;s__Microcystis aeruginosa;t__
Morganella morganii	GCF_902387845.1	Represent	Complete Genome	582	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Morganella;s__Morganella morganii;t__
Mycolicibacterium smegmatis MC2 155	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycolicibacterium smegmatis	GCF_013349145.1	Represent	Chromosome	1772	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__
Mycobacteroides abscessus	GCF_004028015.1	Represent	Complete Genome	36809	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacteroides;s__Mycobacteroides abscessus;t__
Mycobacteroides abscessus subsp. bolletii	GCF_017183915.1	Unreference	Complete Genome	319705	subspecies	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacteroides;s__Mycobacteroides abscessus;t__Mycobacteroides abscessus subsp. bolletii
Mycobacterium tuberculosis	GCF_000195955.2	Reference	Complete Genome	1773	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium tuberculosis;t__
Mycolicibacterium vaccae	GCF_001655245.1	Represent	Complete Genome	1810	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium vaccae;t__
Mycobacterium avium subsp. paratuberculosis	GCF_016749935.1	Unreference	Complete Genome	1770	subspecies	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium avium;t__Mycobacterium avium subsp. paratuberculosis
Mycolicibacterium phlei	GCF_001583415.1	Unreference	Complete Genome	1771	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium phlei;t__
Mycobacterium avium	GCF_022175585.1	Unreference	Complete Genome	1764	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium avium;t__
Mycoplasma arthritidis	GCF_000327395.2	Represent	Complete Genome	2111	species	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma;s__Mycoplasma arthritidis;t__
Mycoplasmopsis pulmonis	GCF_900660575.1	Represent	Complete Genome	2107	species	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasmopsis;s__Mycoplasmopsis pulmonis;t__
Myxococcus xanthus	GCF_000012685.1	Represent	Complete Genome	34	species	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__Myxococcus xanthus;t__
Natrialba magadii	GCF_000025625.1	Represent	Complete Genome	13769	species	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Natrialba;s__Natrialba magadii;t__
Natrialba magadii ATCC 43099	GCF_000025625.1	Represent	Complete Genome	547559	strain	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Natrialba;s__Natrialba magadii;t__Natrialba magadii ATCC 43099
Nitratiruptor sp. SB155-2	GCF_000010325.1	Unreference	Complete Genome	387092	species	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Nautiliales;f__Nitratiruptoraceae;g__Nitratiruptor;s__Nitratiruptor sp. SB155-2;t__
Nitrososphaera viennensis EN76	GCF_000698785.1	Represent	Complete Genome	926571	strain	k__Archaea;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaera;s__Nitrososphaera viennensis;t__Nitrososphaera viennensis EN76
Nodularia spumigena	GCF_003054475.1	Represent	Complete Genome	70799	species	k__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Aphanizomenonaceae;g__Nodularia;s__Nodularia spumigena;t__
Paenibacillus glucanolyticus	GCF_001632305.1	Represent	Chromosome	59843	species	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus glucanolyticus;t__
Pantoea agglomerans	GCF_019048385.1	Represent	Complete Genome	549	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Pantoea;s__Pantoea agglomerans;t__
Parabacteroides distasonis	GCF_012273055.1	Represent	Chromosome	823	species	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis;t__
Parabacteroides merdae	GCF_020735605.1	Unreference	Complete Genome	46503	species	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae;t__
Paracoccus marcusii	GCF_019141545.1	Represent	Complete Genome	59779	species	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus marcusii;t__
Pasteurella multocida	GCF_000006825.1	Represent	Complete Genome	747	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Pasteurella;s__Pasteurella multocida;t__
Pectobacterium atrosepticum	GCF_000740965.1	Represent	Complete Genome	29471	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium atrosepticum;t__
Pectobacterium carotovorum subsp. carotovorum	GCF_015277635.1	Unreference	Complete Genome	555	subspecies	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium carotovorum;t__Pectobacterium carotovorum subsp. carotovorum
Pectobacterium carotovorum	GCF_013488025.1	Represent	Complete Genome	554	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium carotovorum;t__
Pectobacterium wasabiae	GCF_001742185.1	Represent	Complete Genome	55208	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium wasabiae;t__
Pectobacterium atrosepticum SCRI1043	GCF_000011605.1	Unreference	Complete Genome	218491	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium atrosepticum;t__Pectobacterium atrosepticum SCRI1043
Candidatus Pelagibacter ubique HTCC1062	GCF_000012345.1	Represent	Complete Genome	335992	strain	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Candidatus Pelagibacter;s__Candidatus Pelagibacter ubique;t__Candidatus Pelagibacter ubique HTCC1062
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	GCF_000006945.2	Reference	Complete Genome	99287	strain	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
Salmonella enterica	GCF_000006945.2	Reference	Complete Genome	28901	species	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica;t__
Photobacterium damselae subsp. damselae	GCF_021768425.1	Unreference	Complete Genome	85581	subspecies	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium damselae;t__Photobacterium damselae subsp. damselae
Planktothrix agardhii	GCF_000710505.1	Unreference	Chromosome	1160	species	k__Bacteria;p__Cyanobacteria;c__;o__Oscillatoriales;f__Microcoleaceae;g__Planktothrix;s__Planktothrix agardhii;t__
Prochlorococcus marinus subsp. pastoris str. CCMP1986	GCF_000011465.1	Unreference	Complete Genome	59919	strain	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochlorococcaceae;g__Prochlorococcus;s__Prochlorococcus marinus;t__Prochlorococcus marinus subsp. pastoris str. CCMP1986
Prochlorococcus marinus str. MIT 9303	GCF_000015705.1	Unreference	Complete Genome	59922	strain	k__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochlorococcaceae;g__Prochlorococcus;s__Prochlorococcus marinus;t__Prochlorococcus marinus str. MIT 9303
