virus_name	viral_acc	virus_taxid	virus_lineage	evidence	report_host	host_taxid	host_lineage	host_tax_rank	find_name	gcfs	new_gcf	assembly_category	assembly_level	find_taxid	find_taxrank	find_lineage
Mycobacterium phage Grizzly	NC_054442	2315539	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Liefievirus;s__Mycobacterium phage Grizzly;t__	NCBI Virus, RefSeq	Mycolicibacterium smegmatis	1772	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__	species	Mycolicibacterium smegmatis	['GCF_013349145.1']	GCF_013349145.1	Represent	Chromosome	1772	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__
Mycobacterium phage Gumball	NC_011290	561998	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Plotvirus;s__Mycobacterium virus Plot;t__	RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage Guo1	KJ725374	1498190	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Liefievirus;s__Mycobacterium phage Guo1;t__	NCBI Virus, RefSeq	Mycolicibacterium smegmatis	1772	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__	species	Mycolicibacterium smegmatis	['GCF_013349145.1']	GCF_013349145.1	Represent	Chromosome	1772	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__
Mycobacterium phage GuuelaD	NC_053508	2015819	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Bronvirus;s__Mycobacterium phage GuuelaD;t__	NCBI Virus, RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage Gyarad	JX649099	1235691	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Pegunavirus;s__Mycobacterium virus Soto;t__	RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage Hamulus	NC_022056	1340824	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Cheoctovirus;s__Mycobacterium phage Hamulus;t__	RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage HanShotFirst	NC_022975	1429904	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Fromanvirus;s__Mycobacterium phage HanShotFirst;t__	NCBI Virus, RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage Harley	NC_051665	2282909	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Cheoctovirus;s__Mycobacterium phage Harley;t__	NCBI Virus, RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage HarryOW	NC_052432	2762393	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Fromanvirus;s__Mycobacterium phage HarryOW;t__	NCBI Virus, RefSeq	Mycolicibacterium smegmatis	1772	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__	species	Mycolicibacterium smegmatis	['GCF_013349145.1']	GCF_013349145.1	Represent	Chromosome	1772	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__
Mycobacterium phage Harvey	JF937095	1034104	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Pegunavirus;s__Mycobacterium virus Soto;t__	RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage Hawkeye	NC_024209	1458711	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Hawkeyevirus;s__Mycobacterium virus Hawkeye;t__	RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage Heath	NC_055860	2762421	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Coopervirus;s__Mycobacterium phage Heath;t__	NCBI Virus, RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage Heathcliff	KJ194584	1458712	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Pipefishvirus;s__Mycobacterium phage Heathcliff;t__	NCBI Virus, RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage Hedgerow	JN698991	1089123	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Rosebushvirus;s__Mycobacterium virus Rosebush;t__	RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage Heffalump	NC_054811	1983575	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Fromanvirus;s__Mycobacterium phage Heffalump;t__	NCBI Virus, RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage Hegedechwinu	NC_051666	2686469	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Cheoctovirus;s__Mycobacterium phage Hegedechwinu;t__	NCBI Virus, RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage Henry	JF937096	1034105	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Kostyavirus;s__Mycobacterium virus Toto;t__	RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage Henu3	NC_051589	2492961	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Timquatrovirus;s__Mycobacterium phage Henu3;t__	NCBI Virus, RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage Henu3 PeY-2017	NC_051667	2571241	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Cheoctovirus;s__Mycobacterium phage Henu3 PeY-2017;t__	NCBI Virus, RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage Hertubise	JF937097	1034106	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Pegunavirus;s__Mycobacterium virus Pg1;t__	RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage HH92	KJ538722	1471543	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Gilesvirus;s__Mycobacterium virus Giles;t__	RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage HINdeR	NC_021308	1327770	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Fromanvirus;s__Mycobacterium phage HINdeR;t__	NCBI Virus, RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage Hlubikazi	NC_051668	2767559	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Cheoctovirus;s__Mycobacterium phage Hlubikazi;t__	NCBI Virus, RefSeq	Mycolicibacterium smegmatis	1772	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__	species	Mycolicibacterium smegmatis	['GCF_013349145.1']	GCF_013349145.1	Represent	Chromosome	1772	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__
Mycobacterium phage Hope	GQ303261	663555	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Liefievirus;s__Mycobacterium phage Hope;t__	NCBI Virus, RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage Hosp	NC_024145	1463811	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Mycobacterium phage Hosp;t__	Literature	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage HufflyPuff	NC_022981	1430411	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Kostyavirus;s__Mycobacterium phage HufflyPuff;t__	NCBI Virus, RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage Hurricane	NC_051604	2015810	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Timquatrovirus;s__Mycobacterium phage Hurricane;t__	NCBI Virus, RefSeq	Mycolicibacterium smegmatis	1772	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__	species	Mycolicibacterium smegmatis	['GCF_013349145.1']	GCF_013349145.1	Represent	Chromosome	1772	species	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__
Mycobacterium phage HyRo	NC_028869	1698710	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Myoviridae;g__Bixzunavirus;s__Mycobacterium virus HyRo;t__	RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage Ichabod	NC_052433	2099633	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Fromanvirus;s__Mycobacterium phage Ichabod;t__	NCBI Virus, RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage ICleared	NC_054800	1176425	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Fromanvirus;s__Mycobacterium virus Peaches;t__	NCBI Virus, RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage ILeeKay	NC_052434	2041533	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Fromanvirus;s__Mycobacterium phage ILeeKay;t__	NCBI Virus, RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage Imvubu	NC_051586	2686233	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__;s__Mycobacterium phage Imvubu;t__	NCBI Virus, RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
Mycobacterium phage Indlulamithi	NC_048824	2656582	k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Siphoviridae;g__Indlulamithivirus;s__Mycobacterium virus Indlulamithi;t__	RefSeq	Mycolicibacterium smegmatis MC2 155	246196	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155	strain	Mycolicibacterium smegmatis MC2 155	['GCF_000767605.1', 'GCF_000283295.1', 'GCF_000015005.1']	GCF_000767605.1	Unreference	Complete Genome	246196	strain	k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium smegmatis;t__Mycolicibacterium smegmatis MC2 155
